species,sample,haplotype_count,credibility,phylum,is_invasive,nns_name,total_diversity
Thalassiosira sp.,ALGA_C_S,7,HIGH,Ochrophyta,False,NA,32.0
Thalassiosira sp.,ALGA_C_W,7,HIGH,Ochrophyta,False,NA,32.0
Thalassiosira sp.,ALGA_C_E,3,HIGH,Ochrophyta,False,NA,32.0
Thalassiosira sp.,ALGA_F_L,7,HIGH,Ochrophyta,False,NA,32.0
Thalassiosira sp.,ALGA_F_M,7,HIGH,Ochrophyta,False,NA,32.0
Thalassiosira sp.,ALGA_F_AS,1,HIGH,Ochrophyta,False,NA,32.0
Navicula sp.,ALGA_C_S,2,LOW,Ochrophyta,False,NA,8.0
Navicula sp.,ALGA_C_W,2,LOW,Ochrophyta,False,NA,8.0
Navicula sp.,ALGA_F_L,2,LOW,Ochrophyta,False,NA,8.0
Navicula sp.,ALGA_F_M,2,LOW,Ochrophyta,False,NA,8.0
Thalassiosira nordenskioeldii,ALGA_C_S,1,MODERATE,Ochrophyta,False,NA,6.0
Thalassiosira nordenskioeldii,ALGA_C_W,1,MODERATE,Ochrophyta,False,NA,6.0
Thalassiosira nordenskioeldii,ALGA_C_E,1,MODERATE,Ochrophyta,False,NA,6.0
Thalassiosira nordenskioeldii,ALGA_F_L,1,MODERATE,Ochrophyta,False,NA,6.0
Thalassiosira nordenskioeldii,ALGA_F_M,1,MODERATE,Ochrophyta,False,NA,6.0
Thalassiosira nordenskioeldii,ALGA_F_AS,1,MODERATE,Ochrophyta,False,NA,6.0
Sthenelais limicola,ALGA_C_E,5,HIGH,Annelida,False,NA,5.0
Caulleriella parva,ALGA_C_S,4,MODERATE,Annelida,False,NA,4.0
Nephtys sp.,ALGA_C_W,1,HIGH,Annelida,False,NA,4.0
Nephtys sp.,ALGA_C_E,2,HIGH,Annelida,False,NA,4.0
Nephtys sp.,ALGA_F_L,1,HIGH,Annelida,False,NA,4.0
Rhaphoneis amphiceros,ALGA_C_S,1,MODERATE,Ochrophyta,False,NA,4.0
Rhaphoneis amphiceros,ALGA_C_W,1,MODERATE,Ochrophyta,False,NA,4.0
Rhaphoneis amphiceros,ALGA_F_L,1,MODERATE,Ochrophyta,False,NA,4.0
Rhaphoneis amphiceros,ALGA_F_M,1,MODERATE,Ochrophyta,False,NA,4.0
Thalassiosira pseudonana,ALGA_C_S,1,MODERATE,Ochrophyta,False,NA,3.0
Thalassiosira pseudonana,ALGA_C_W,1,MODERATE,Ochrophyta,False,NA,3.0
Thalassiosira pseudonana,ALGA_F_M,1,MODERATE,Ochrophyta,False,NA,3.0
Canuella perplexa,ALGA_C_E,1,MODERATE,Arthropoda,False,NA,2.0
Canuella perplexa,ALGA_F_M,1,MODERATE,Arthropoda,False,NA,2.0
Echinocardium cordatum,ALGA_C_E,1,MODERATE,Echinodermata,False,NA,2.0
Echinocardium cordatum,ALGA_F_AS,1,MODERATE,Echinodermata,False,NA,2.0
Nephtys cirrosa,ALGA_C_W,1,MODERATE,Annelida,False,NA,2.0
Nephtys cirrosa,ALGA_C_E,1,MODERATE,Annelida,False,NA,2.0
Centropages sp.,ALGA_F_L,1,LOW,Arthropoda,False,NA,2.0
Centropages sp.,ALGA_F_M,1,LOW,Arthropoda,False,NA,2.0
Micromonas pusilla,ALGA_C_W,1,MODERATE,Chlorophyta,False,NA,2.0
Micromonas pusilla,ALGA_F_M,1,MODERATE,Chlorophyta,False,NA,2.0
Spisula subtruncata,ALGA_F_M,2,MODERATE,Mollusca,False,NA,2.0
Gephyrocapsa sp.,ALGA_F_M,1,LOW,Haptophyta,False,NA,1.0
Heterocapsa rotundata,ALGA_F_M,1,MODERATE,Myzozoa,False,NA,1.0
Tellimya ferruginosa,ALGA_F_AS,1,MODERATE,Mollusca,False,NA,1.0
Sprattus sprattus,ALGA_F_M,1,MODERATE,Chordata,False,NA,1.0
Chromadorita tentabundum,ALGA_F_M,1,LOW,Nematoda,False,NA,1.0
Chloropicon laureae,ALGA_F_M,1,LOW,Chlorophyta,False,NA,1.0
